Sample name (final) ,Library,Sample_name,samp_name,extraction_date,extraction_tech,year,Replication,Instrument,Site,Basin,WaterSample,Date,Channel number,Bottle ID,Collection time,Filter ID ,Filtration start time,filtration start time formatted,Volume filtered (L),Depth_m,Depth_category,Distance_from_bottom_ft,Distance_from_bottom_m,Latitude,Longitude,Preservation time,preservation time formatted,Preservation location,Qubit,ddPCR,Notes,Time before preservation,,extraction_tech,extraction_date,pcr2_band,primer,readswithprimers
241023-AI2-B,Rockfish3,AI2-B-1,,,,,,SmithRoot,AI-2,AI,AI2-B,2024 10 23,9999,12A,9999,36R,1145,11:45,2,0,Surface,295.2,90,47.949925,122.5894983,1839,18:39,94,11.3,2.28,,6:54,,WH,,no band,MDL,3390
241023-AI2-B,Rockfish3,AI2-B-2,,,,,,SmithRoot,AI-2,AI,AI2-B,2024 10 23,9999,12A,9999,36R,1145,11:45,2,0,Surface,295.2,90,47.949925,122.5894983,1839,18:39,94,11.3,2.28,,6:54,,WH,,band,MDL,31589
241023-AI2-B,Rockfish3,AI2-B-3,,,,,,SmithRoot,AI-2,AI,AI2-B,2024 10 23,9999,12A,9999,36R,1145,11:45,2,0,Surface,295.2,90,47.949925,122.5894983,1839,18:39,94,11.3,2.28,,6:54,,WH,,no band,MDL,4587
241023-AI2-C,Rockfish3,AI2-C-1,,,,,,SmithRoot,AI-2,AI,AI2-C,2024 10 23,9999,12A,9999,8R,1152,11:52,2,0,Surface,295.2,90,47.949925,122.5894983,1836,18:36,83,11.7,1.59,,6:44,,WH,,no band,MDL,31353
241023-AI2-C,Rockfish3,AI2-C-2,,,,,,SmithRoot,AI-2,AI,AI2-C,2024 10 23,9999,12A,9999,8R,1152,11:52,2,0,Surface,295.2,90,47.949925,122.5894983,1836,18:36,83,11.7,1.59,,6:44,,WH,,band,MDL,9481
241023-AI2-C,Rockfish3,AI2-C-3,,,,,,SmithRoot,AI-2,AI,AI2-C,2024 10 23,9999,12A,9999,8R,1152,11:52,2,0,Surface,295.2,90,47.949925,122.5894983,1836,18:36,83,11.7,1.59,,6:44,,WH,,no band,MDL,19702
241023-AI2-D,Rockfish3,AI2-D-1,,,,,,Ascension,AI-2,AI,AI2-D,2024 10 23,1,9999,9999,244A,1143,11:43,2,80,Near bottom,32.8,10,47.949925,122.5894983,1837,18:37,80,8.89,,"No CTD data, sample depth measured by MWO and fishfinder",6:54,,YL,,no band,MDL,257
241023-AI2-D,Rockfish3,AI2-D-2,,,,,,Ascension,AI-2,AI,AI2-D,2024 10 23,1,9999,9999,244A,1143,11:43,2,80,Near bottom,32.8,10,47.949925,122.5894983,1837,18:37,80,8.89,,"No CTD data, sample depth measured by MWO and fishfinder",6:54,,YL,,band,MDL,49884
241023-AI2-D,Rockfish3,AI2-D-3,,,,,,Ascension,AI-2,AI,AI2-D,2024 10 23,1,9999,9999,244A,1143,11:43,2,80,Near bottom,32.8,10,47.949925,122.5894983,1837,18:37,80,8.89,,"No CTD data, sample depth measured by MWO and fishfinder",6:54,,YL,,band,MDL,11118
241023-AI2-E,Rockfish3,AI2-E-1,,,,,,Ascension,AI-2,AI,AI2-E,2024 10 23,2,9999,9999,242A,1150,11:50,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1838,18:38,91,8.14,,"No CTD data, sample depth measured by MWO and fishfinder",6:48,,YL,,band,MDL,34982
241023-AI2-E,Rockfish3,AI2-E-2,,,,,,Ascension,AI-2,AI,AI2-E,2024 10 23,2,9999,9999,242A,1150,11:50,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1838,18:38,91,8.14,,"No CTD data, sample depth measured by MWO and fishfinder",6:48,,YL,,no band,MDL,7
241023-AI2-E,Rockfish3,AI2-E-3,,,,,,Ascension,AI-2,AI,AI2-E,2024 10 23,2,9999,9999,242A,1150,11:50,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1838,18:38,91,8.14,,"No CTD data, sample depth measured by MWO and fishfinder",6:48,,YL,,no band,MDL,7
241023-AI2-F,Rockfish3,AI2-F-1,,,,,,Ascension,AI-2,AI,AI2-F,2024 10 23,4,9999,9999,243A,1204,12:04,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1834,18:34,50,8.6,0,"No CTD data, sample depth measured by MWO and fishfinder",6:30,,YL,,no band,MDL,511
241023-AI2-F,Rockfish3,AI2-F-2,,,,,,Ascension,AI-2,AI,AI2-F,2024 10 23,4,9999,9999,243A,1204,12:04,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1834,18:34,50,8.6,0,"No CTD data, sample depth measured by MWO and fishfinder",6:30,,YL,,no band,MDL,66
241023-AI2-F,Rockfish3,AI2-F-3,,,,,,Ascension,AI-2,AI,AI2-F,2024 10 23,4,9999,9999,243A,1204,12:04,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1834,18:34,50,8.6,0,"No CTD data, sample depth measured by MWO and fishfinder",6:30,,YL,,no band,MDL,90
241023-AI2-G,Rockfish3,AI2-G,,,,,,Ascension,AI-2,AI,AI2-G,2024 10 23,3,9999,9999,231A,1157,11:57,2.02,80,Near bottom,32.8,10,47.949925,122.5894983,1225,12:25,33,5.6,0,"No CTD data, sample depth measured by MWO and fishfinder",0:28,,YL,,no band,MDL,53
241023-AI2-X,Rockfish3,AI2-X,,,,,,SmithRoot,AI-2,AI,AI2-X,2024 10 23,9999,18A,9999,95R,1147,11:47,2,0,Surface,295.2,90,47.949925,122.5894983,1151,11:51,30,8.5,3.15,,0:04,,WH,,band,MDL,385827
241023-AI2-Y,Rockfish3,AI2-Y,,,,,,SmithRoot,AI-2,AI,AI2-Y,2024 10 23,9999,18A,9999,14R,1154,11:54,2,0,Surface,295.2,90,47.949925,122.5894983,1156,11:56,31,8.78,3.15,,0:02,,WH,,faint band,MDL,87636
241023-AI2-Z,Rockfish3,AI2-Z,,,,,,SmithRoot,AI-2,AI,AI2-Z,2024 10 23,9999,12A,9999,19R,1156,11:56,2,0,Surface,295.2,90,47.949925,122.5894983,1158,11:58,32,9.21,0,,0:02,,YL,,no band,MDL,2539
241023-AI8-A,Rockfish3,AI8-A,,,,,,SmithRoot,AI-8,AI,AI8-A,2024 10 23,9999,17A,9999,15R,1047,10:47,2,0,Surface,196.8,60,47.94842,122.4763183,1833,18:33,97,8.65,2.28,,7:46,,WH,,no band,MDL,5618
241023-AI8-B,Rockfish3,AI8-B,,,,,,SmithRoot,AI-8,AI,AI8-B,2024 10 23,9999,20A,9999,39R,1045,10:45,2.1,0,Surface,196.8,60,47.94842,122.4763183,1838,18:38,92,10.1,0,,7:53,,WH,,no band,MDL,21302
241023-AI8-C,Rockfish3,AI8-C,,,,,,SmithRoot,AI-8,AI,AI8-C,2024 10 23,9999,20A,9999,99R,1051,10:51,2.1,0,Surface,196.8,60,47.94842,122.4763183,1831,18:31,95,9.66,,,7:40,,WH,,faint band,MDL,13668
241023-AI8-D,Rockfish3,AI8-D,,,,,,Ascension,AI-8,AI,AI8-D,2024 10 23,1,9999,9999,17A,1041,10:41,1.99,38,Near bottom,65.6,20,47.94842,122.4763183,1842,18:42,85,10.5,,,8:01,,YL,,no band,MDL,2812
241023-AI8-E,Rockfish3,AI8-E,,,,,,Ascension,AI-8,AI,AI8-E,2024 10 23,4,9999,9999,239A,1100,11:00,1.989,39,Near bottom,82,25,47.94842,122.4763183,1825,18:25,44,9.7,,,7:25,,YL,,band,MDL,27246
241023-AI8-F,Rockfish3,AI8-F,,,,,,Ascension,AI-8,AI,AI8-F,2024 10 23,3,9999,9999,84A,1053,10:53,2.004,38,Near bottom,95.12,29,47.94842,122.4763183,1828,18:28,46,11.9,2.4,,7:35,,YL,,no band,MDL,78395
241023-AI8-G,Rockfish3,AI8-G,,,,,,Ascension,AI-8,AI,AI8-G,2024 10 23,2,9999,9999,240A,1047,10:47,2.002,38,Near bottom,127.92,39,47.94842,122.4763183,1114,11:14,29,12.1,1.54,,0:27,,WH,,faint band,MDL,13855
241023-AI8-X,Rockfish3,AI8-X,,,,,,SmithRoot,AI-8,AI,AI8-X,2024 10 23,9999,17A,9999,41R,1052,10:52,2.15,0,Surface,229.6,70,47.94842,122.4763183,1058,10:58,26,6.9,0.76,,0:06,,WH,,no band,MDL,5325
241023-AI8-Y,Rockfish3,AI8-Y,,,,,,SmithRoot,AI-8,AI,AI8-Y,2024 10 23,9999,20A,9999,13R,1054,10:54,2.15,0,Surface,229.6,70,47.94842,122.4763183,1059,10:59,27,5.42,0,,0:05,,YL,,no band,MDL,3871
241023-AI8-Z,Rockfish3,AI8-Z,,,,,,SmithRoot,AI-8,AI,AI8-Z,2024 10 23,9999,17A,9999,17R,1100,11:00,2.2,0,Surface,229.6,70,47.94842,122.4763183,1102,11:02,28,7.1,0,,0:02,,WH,,faint band,MDL,9909
241023-EB1,Rockfish3,EB1,,,,,,Lab extraction blank,,EB,EB1,2024 10 23,,,,,,,,,,,,,,,,99,0.001,,,,,YL,,no band,MDL,
241023-EB2,Rockfish3,EB2,,,,,,Lab extraction blank,,EB,EB2,2024 10 23,,,,,,,,,,,,,,,,101,0.001,,,,,WH,,no band,MDL,
241007-HC-EB,Rockfish3,HC-EB,,,,,,Lab extraction blank,,EB,HC-EB,2024 10 07,,,,,,,,,,,,,,,,,0.001,,,,,SG,,no band,MDL,
241007-HC0-A,Rockfish3,HC0-A-1,,,,,,SmithRoot,HC-0,HC,HC0-A,2024 10 07,9999,22A,1106,49R,1107,11:07,1.9,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,1,19.5,,,10:38,,SG,,no band,MDL,6673
241007-HC0-A,Rockfish3,HC0-A-2,,,,,,SmithRoot,HC-0,HC,HC0-A,2024 10 07,9999,22A,1106,49R,1107,11:07,1.9,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,1,19.5,,,10:38,,SG,,no band,MDL,2205
241007-HC0-A,Rockfish3,HC0-A-3,,,,,,SmithRoot,HC-0,HC,HC0-A,2024 10 07,9999,22A,1106,49R,1107,11:07,1.9,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,1,19.5,,,10:38,,SG,,no band,MDL,518500
241007-HC0-B,Rockfish3,HC0-B-1,,,,,,SmithRoot,HC-0,HC,HC0-B,2024 10 07,9999,B33,1116,31R,1117,11:17,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,15,15.6,,,10:28,,SG,,no band,MDL,10244
241007-HC0-B,Rockfish3,HC0-B-2,,,,,,SmithRoot,HC-0,HC,HC0-B,2024 10 07,9999,B33,1116,31R,1117,11:17,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,15,15.6,,,10:28,,SG,,no band,MDL,639
241007-HC0-B,Rockfish3,HC0-B-3,,,,,,SmithRoot,HC-0,HC,HC0-B,2024 10 07,9999,B33,1116,31R,1117,11:17,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,15,15.6,,,10:28,,SG,,no band,MDL,466
241007-HC0-C,Rockfish3,HC0-C-1,,,,,,SmithRoot,HC-0,HC,HC0-C,2024 10 07,9999,B33,1121,47R,1122,11:22,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,4,19.2,,filter housing dropped on deck (slightly) ,10:23,,SG,,no band,MDL,121
241007-HC0-C,Rockfish3,HC0-C-2,,,,,,SmithRoot,HC-0,HC,HC0-C,2024 10 07,9999,B33,1121,47R,1122,11:22,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,4,19.2,,filter housing dropped on deck (slightly) ,10:23,,SG,,no band,MDL,374489
241007-HC0-C,Rockfish3,HC0-C-3,,,,,,SmithRoot,HC-0,HC,HC0-C,2024 10 07,9999,B33,1121,47R,1122,11:22,2,0,Surface,42,42,47.38110524,122.9790936,2145,21:45,4,19.2,,filter housing dropped on deck (slightly) ,10:23,,SG,,no band,MDL,622
241007-HC0-D,Rockfish3,HC0-D-1,,,,,,Ascension,HC-0,HC,HC0-D,2024 10 07,ch1,9999,9999,6A,1100,11:00,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,23,9.39,,,10:45,,SG,,no band,MDL,56
241007-HC0-D,Rockfish3,HC0-D-2,,,,,,Ascension,HC-0,HC,HC0-D,2024 10 07,ch1,9999,9999,6A,1100,11:00,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,23,9.39,,,10:45,,SG,,faint band,MDL,318352
241007-HC0-D,Rockfish3,HC0-D-3,,,,,,Ascension,HC-0,HC,HC0-D,2024 10 07,ch1,9999,9999,6A,1100,11:00,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,23,9.39,,,10:45,,SG,,no band,MDL,2000
241007-HC0-E,Rockfish3,HC0-E-1,,,,,,Ascension,HC-0,HC,HC0-E,2024 10 07,ch2,9999,9999,7A,1107,11:07,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,24,13.8,,,10:38,,SG,,faint band,MDL,109113
241007-HC0-E,Rockfish3,HC0-E-2,,,,,,Ascension,HC-0,HC,HC0-E,2024 10 07,ch2,9999,9999,7A,1107,11:07,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,24,13.8,,,10:38,,SG,,no band,MDL,81
241007-HC0-E,Rockfish3,HC0-E-3,,,,,,Ascension,HC-0,HC,HC0-E,2024 10 07,ch2,9999,9999,7A,1107,11:07,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,24,13.8,,,10:38,,SG,,no band,MDL,28492
241007-HC0-F,Rockfish3,HC0-F-1,,,,,,Ascension,HC-0,HC,HC0-F,2024 10 07,ch3,9999,9999,2A,1115,11:15,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,25,17.1,,,10:30,,SG,,no band,MDL,84
241007-HC0-F,Rockfish3,HC0-F-2,,,,,,Ascension,HC-0,HC,HC0-F,2024 10 07,ch3,9999,9999,2A,1115,11:15,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,25,17.1,,,10:30,,SG,,no band,MDL,4350
241007-HC0-F,Rockfish3,HC0-F-3,,,,,,Ascension,HC-0,HC,HC0-F,2024 10 07,ch3,9999,9999,2A,1115,11:15,2,32,Near bottom,42,42,47.38110524,122.9790936,2145,21:45,25,17.1,,,10:30,,SG,,no band,MDL,503
241007-HC1-A,Rockfish3,HC1-A-1,,,,,,SmithRoot,HC-1,HC,HC1-A,2024 10 07,9999,25A,1222,56R,1225,12:25,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,10,13.8,,,9:20,,SG,,no band,MDL,5128
241007-HC1-A,Rockfish3,HC1-A-2,,,,,,SmithRoot,HC-1,HC,HC1-A,2024 10 07,9999,25A,1222,56R,1225,12:25,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,10,13.8,,,9:20,,SG,,no band,MDL,94101
241007-HC1-A,Rockfish3,HC1-A-3,,,,,,SmithRoot,HC-1,HC,HC1-A,2024 10 07,9999,25A,1222,56R,1225,12:25,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,10,13.8,,,9:20,,SG,,no band,MDL,91784
241007-HC1-B,Rockfish3,HC1-B-1,,,,,,SmithRoot,HC-1,HC,HC1-B,2024 10 07,9999,25A,1228,50R,1229,12:29,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,11,16.1,,,9:16,,SG,,faint band,MDL,232304
241007-HC1-B,Rockfish3,HC1-B-2,,,,,,SmithRoot,HC-1,HC,HC1-B,2024 10 07,9999,25A,1228,50R,1229,12:29,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,11,16.1,,,9:16,,SG,,no band,MDL,8379
241007-HC1-B,Rockfish3,HC1-B-3,,,,,,SmithRoot,HC-1,HC,HC1-B,2024 10 07,9999,25A,1228,50R,1229,12:29,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,11,16.1,,,9:16,,SG,,faint band,MDL,297241
241007-HC1-C,Rockfish3,HC1-C-1,,,,,,SmithRoot,HC-1,HC,HC1-C,2024 10 07,9999,25A,1233,62R,1234,12:34,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,14,13.6,,,9:11,,SG,,no band,MDL,2073
241007-HC1-C,Rockfish3,HC1-C-2,,,,,,SmithRoot,HC-1,HC,HC1-C,2024 10 07,9999,25A,1233,62R,1234,12:34,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,14,13.6,,,9:11,,SG,,faint band,MDL,175858
241007-HC1-C,Rockfish3,HC1-C-3,,,,,,SmithRoot,HC-1,HC,HC1-C,2024 10 07,9999,25A,1233,62R,1234,12:34,2,0,Surface,95,95,47.41545333,123.1057433,2145,21:45,14,13.6,,,9:11,,SG,,no band,MDL,744454
241007-HC1-D,Rockfish3,HC1-D-1,,,,,,Ascension,HC-1,HC,HC1-D,2024 10 07,ch1,9999,9999,44A,1224,12:24,2,91,Near bottom,5,5,47.41545333,123.1057433,2145,21:45,52,10.7,,,9:21,,SG,,faint band,MDL,79283
241007-HC1-D,Rockfish3,HC1-D-2,,,,,,Ascension,HC-1,HC,HC1-D,2024 10 07,ch1,9999,9999,44A,1224,12:24,2,91,Near bottom,5,5,47.41545333,123.1057433,2145,21:45,52,10.7,,,9:21,,SG,,band,MDL,33609
241007-HC1-D,Rockfish3,HC1-D-3,,,,,,Ascension,HC-1,HC,HC1-D,2024 10 07,ch1,9999,9999,44A,1224,12:24,2,91,Near bottom,5,5,47.41545333,123.1057433,2145,21:45,52,10.7,,,9:21,,SG,,band,MDL,35473
241007-HC1-E,Rockfish3,HC1-E-1,,,,,,Ascension,HC-1,HC,HC1-E,2024 10 07,ch2,9999,9999,47A,1231,12:31,2,92,Near bottom,10,10,47.41545333,123.1057433,2145,21:45,61,13.7,,,9:14,,SG,,no band,MDL,729
241007-HC1-E,Rockfish3,HC1-E-2,,,,,,Ascension,HC-1,HC,HC1-E,2024 10 07,ch2,9999,9999,47A,1231,12:31,2,92,Near bottom,10,10,47.41545333,123.1057433,2145,21:45,61,13.7,,,9:14,,SG,,no band,MDL,49441
241007-HC1-E,Rockfish3,HC1-E-3,,,,,,Ascension,HC-1,HC,HC1-E,2024 10 07,ch2,9999,9999,47A,1231,12:31,2,92,Near bottom,10,10,47.41545333,123.1057433,2145,21:45,61,13.7,,,9:14,,SG,,no band,MDL,1306
241007-HC1-F,Rockfish3,HC1-F-1,,,,,,Ascension,HC-1,HC,HC1-F,2024 10 07,ch3,9999,9999,41A,1239,12:39,2.2,92,Near bottom,20,20,47.41545333,123.1057433,2145,21:45,62,21.4,,,9:06,,SG,,band,MDL,26508
241007-HC1-F,Rockfish3,HC1-F-2,,,,,,Ascension,HC-1,HC,HC1-F,2024 10 07,ch3,9999,9999,41A,1239,12:39,2.2,92,Near bottom,20,20,47.41545333,123.1057433,2145,21:45,62,21.4,,,9:06,,SG,,band,MDL,129055
241007-HC1-F,Rockfish3,HC1-F-3,,,,,,Ascension,HC-1,HC,HC1-F,2024 10 07,ch3,9999,9999,41A,1239,12:39,2.2,92,Near bottom,20,20,47.41545333,123.1057433,2145,21:45,62,21.4,,,9:06,,SG,,faint band,MDL,1155186
241007-HC4-A,Rockfish3,HC4-A,,,,,,SmithRoot,HC-4,HC,HC4-A,2024 10 07,9999,B31,1623,52R,1625,16:25,2,0,Surface,32,32,47.6066,122.96211,2145,21:45,12,26.4,,,5:20,,SG,,faint band,MDL,1908
241007-HC4-B,Rockfish3,HC4-B,,,,,,SmithRoot,HC-4,HC,HC4-B,2024 10 07,9999,B31,1629,55R,1630,16:30,2,0,Surface,32,32,47.6066,122.96211,2145,21:45,16,25.7,,,5:15,,SG,,no band,MDL,256278
241007-HC4-C,Rockfish3,HC4-C,,,,,,SmithRoot,HC-4,HC,HC4-C,2024 10 07,9999,B31,1635,57R,1636,16:36,2,0,Surface,32,32,47.6066,122.96211,2145,21:45,6,25.1,,,5:09,,SG,,band,MDL,44434
241007-HC4-D,Rockfish3,HC4-D,,,,,,Ascension,HC-4,HC,HC4-D,2024 10 07,ch1,9999,9999,49A,1619,16:19,2,23,Near bottom,10,10,47.6066,122.96211,2145,21:45,54,12.3,,,5:26,,SG,,faint band,MDL,10468
241007-HC4-E,Rockfish3,HC4-E,,,,,,Ascension,HC-4,HC,HC4-E,2024 10 07,ch2,9999,9999,43A,1626,16:26,2,22,Near bottom,10,10,47.6066,122.96211,2145,21:45,19,15.9,,,5:19,,SG,,no band,MDL,75973
241007-HC4-F,Rockfish3,HC4-F,,,,,,Ascension,HC-4,HC,HC4-F,2024 10 07,ch3,9999,9999,46A,1634,16:34,2,23,Near bottom,10,10,47.6066,122.96211,2145,21:45,56,13.4,,,5:11,,SG,,band,MDL,86641
241007-HC4-N1,Rockfish3,HC4-N1,,,,,,SmithRoot,HC-4,NFC,HC4-N1,2024 10 07,9999,B35,9999,60R,1620,16:20,2,9999,,,,47.6066,122.96211,2145,21:45,5,0.001,,,5:25,,SG,,no band,MDL,
241007-HC4-N2,Rockfish3,HC4-N2,,,,,,Ascension,HC-4,NFC,HC4-N2,2024 10 07,ch5,9999,9999,17A,9999,16:19,9999,9999,,,,47.6066,122.96211,2145,21:45,63,0.001,,,5:26,,SG,,no band,MDL,
241007-HC5-A,Rockfish3,HC5-A,,,,,,SmithRoot,HC-5,HC,HC5-A,2024 10 07,9999,26A,1513,54R,1514,15:14,2,0,Surface,100,100,47.655135,122.8488633,2145,21:45,13,24.8,,GPS mark # 0155 in NOAA Garmin (Ascension not giving GPS data) ,6:31,,SG,,no band,MDL,83382
241007-HC5-B,Rockfish3,HC5-B,,,,,,SmithRoot,HC-5,HC,HC5-B,2024 10 07,9999,26A,1519,29R,1519,15:19,2,0,Surface,100,100,47.655135,122.8488633,2145,21:45,3,25.6,,Harbor porpoises ~100m from boat,6:26,,SG,,no band,MDL,174681
241007-HC5-C,Rockfish3,HC5-C,,,,,,SmithRoot,HC-5,HC,HC5-C,2024 10 07,9999,26A,1524,61R,1525,15:25,2,0,Surface,100,100,47.655135,122.8488633,2145,21:45,8,21.8,,,6:20,,SG,,faint band,MDL,270346
241007-HC5-D,Rockfish3,HC5-D,,,,,,Ascension,HC-5,HC,HC5-D,2024 10 07,ch1,9999,9999,5A,1512,15:12,2,85,Near bottom,15,15,47.655135,122.8488633,2145,21:45,60,12.2,,GPS mark # 0155 in NOAA Garmin (Ascension not giving GPS data) ,6:33,,SG,,no band,MDL,1320
241007-HC5-E,Rockfish3,HC5-E,,,,,,Ascension,HC-5,HC,HC5-E,2024 10 07,ch2,9999,9999,1A,1520,15:20,2,85,Near bottom,15,15,47.655135,122.8488633,2145,21:45,21,16.3,,,6:25,,SG,,band,MDL,50288
241007-HC5-F,Rockfish3,HC5-F,,,,,,Ascension,HC-5,HC,HC5-F,2024 10 07,ch3,9999,9999,3A,1528,15:28,2,84,Near bottom,20,20,47.655135,122.8488633,2145,21:45,18,14.5,,,6:17,,SG,,no band,MDL,173540
241007-HC6-A,Rockfish3,HC6-A,,,,,,SmithRoot,HC-6,HC,HC6-A,2024 10 07,9999,20A,1410,59R,1410,14:10,2.1,0,Surface,70,70,47.70928667,122.8707483,2145,21:45,2,44.7,,,7:35,,SG,,no band,MDL,513
241007-HC6-B,Rockfish3,HC6-B,,,,,,SmithRoot,HC-6,HC,HC6-B,2024 10 07,9999,20A,1416,51R,1417,14:17,2,0,Surface,70,70,47.70928667,122.8707483,2145,21:45,7,44.2,,,7:28,,SG,,no band,MDL,
241007-HC6-C,Rockfish3,HC6-C,,,,,,SmithRoot,HC-6,HC,HC6-C,2024 10 07,9999,20A,1428,30R,1429,14:29,2,0,Surface,70,70,47.70928667,122.8707483,2145,21:45,9,41.1,,,7:16,,SG,,no band,MDL,567
241007-HC6-D,Rockfish3,HC6-D,,,,,,Ascension,HC-6,HC,HC6-D,2024 10 07,ch1,9999,9999,11A,1408,14:08,0.8,62,Near bottom,3,3,47.70928667,122.8707483,2145,21:45,17,32.7,,"filtration rate very slow, so moved ot next filter ",7:37,,SG,,no band,MDL,16037
241007-HC6-E,Rockfish3,HC6-E,,,,,,Ascension,HC-6,HC,HC6-E,2024 10 07,ch2,9999,9999,9A,1415,14:15,0.6,62,Near bottom,3,3,47.70928667,122.8707483,2145,21:45,53,50,,Bunch of fish on fish finder; filtration rate still very slow so pulled up instrument ~5m ,7:30,,SG,,no band,MDL,39
