,ID,Sample_name,Instrument,Site,Basin,WaterSample,Date,DiveNum,Depth_ft,Depth_m,Depth_category_dive,Depth_category,Distance_from_bottom,depth.notes,Latitude,Longitude,IDLetter,Sample.no,SampleName,primer,dilution,dilcompexists,run1,Type,total_ng_pooled,pcr2_band,readswithprimers
110224,110224,MeredithDloop-110224_S117,Tissue,SJI,,,,,NA,,,,,,,,,S117,110224,MDL,no,no,no,ruberrimus.tissue,20,Y,144728
114070,114070,MeredithDloop-114070_S118,Tissue,Vancouver,,,,,NA,,,,,,,,,S118,114070,MDL,no,no,no,ruberrimus.tissue,20,Y,554631
119874,119874,MeredithDloop-119874_S121,Tissue,,,,,,NA,,,,,,,,,S121,119874,MDL,no,no,no,helvomaculatus.tissue,20,Y,601623
151065,151065,MeredithDloop-151065_S119,Tissue,Alaska,,,,,NA,,,,,,,,,S119,151065,MDL,no,no,no,ruberrimus.tissue,20,Y,311974
151733,151733,MeredithDloop-151733_S120,Tissue,Oregon,,,,,NA,,,,,,,,,S120,151733,MDL,no,no,no,ruberrimus.tissue,20,Y,743242
31A,31A,MeredithDloop-31A_S55,,,,,2024 04 03,,NA,,,,,,,,A,S55,31A,MDL,no,no,yes,dive,20,Y,41598
AQ.1,AQ.1,MeredithDloop-AQ-1_S56,Aquarium,WOWW,,,,,NA,,,,,,,,,S56,AQ-1,MDL,no,no,no,aquarium,20,Y,1280362
AQ.10,AQ.10,MeredithDloop-AQ-10_S65,Aquarium,intake,,,,,NA,,,,,,,,,S65,AQ-10,MDL,no,no,no,aquarium,20,Y,238089
AQ.11,AQ.11,MeredithDloop-AQ-11_S66,Aquarium,intake,,,,,NA,,,,,,,,,S66,AQ-11,MDL,no,no,no,aquarium,20,Y,209798
AQ.12,AQ.12,MeredithDloop-AQ-12_S67,Aquarium,intake,,,,,NA,,,,,,,,,S67,AQ-12,MDL,no,no,no,aquarium,20,Y,466780
AQ.2,AQ.2,MeredithDloop-AQ-2_S57,Aquarium,WOWW,,,,,NA,,,,,,,,,S57,AQ-2,MDL,no,no,no,aquarium,20,Y,520579
AQ.3,AQ.3,MeredithDloop-AQ-3_S58,Aquarium,WOWW,,,,,NA,,,,,,,,,S58,AQ-3,MDL,no,no,no,aquarium,20,Y,722757
AQ.4,AQ.4,MeredithDloop-AQ-4_S59,Aquarium,EBW,,,,,NA,,,,,,,,,S59,AQ-4,MDL,no,no,no,aquarium,20,Y,540720
AQ.5,AQ.5,MeredithDloop-AQ-5_S60,Aquarium,EBW,,,,,NA,,,,,,,,,S60,AQ-5,MDL,no,no,no,aquarium,20,Y,354454
AQ.6,AQ.6,MeredithDloop-AQ-6_S61,Aquarium,EBW,,,,,NA,,,,,,,,,S61,AQ-6,MDL,no,no,no,aquarium,20,Y,357170
AQ.7,AQ.7,MeredithDloop-AQ-7_S62,Aquarium,UD,,,,,NA,,,,,,,,,S62,AQ-7,MDL,no,no,no,aquarium,20,Y,397845
AQ.8,AQ.8,MeredithDloop-AQ-8_S63,Tissue,UD,,,,,NA,,,,,,,,,S63,AQ-8,MDL,no,no,no,aquarium,20,Y,834245
AQ.9,AQ.9,MeredithDloop-AQ-9_S64,Aquarium,UD,,,,,NA,,,,,,,,,S64,AQ-9,MDL,no,no,no,aquarium,20,Y,628437
DECLKA,DECLKA,MeredithDloop-DECLKA_S69,Freezer,,,,,,NA,,,,,,,,,S69,DECLKA,MDL,no,no,no,SJILK,20,Y,533065
P12.NB.202209,P12.NB.202209,MeredithDloop-P12-NB-202209_S75,Freezer,,,,,,120,40,,,,,,,,S75,P12-NB-202209,MDL,no,no,no,WOAC,20,Y,498918
P12D.042021,P12D.042021,MeredithDloop-P12D-042021_S74,Freezer,,,,,,0,0,,,,,,,,S74,P12D-042021,MDL,no,no,no,WOAC,6.3552,Y,43042
SJLK20170613C.dil,SJLK20170613C.dil,MeredithDloop-SJLK20170613C-dil_S102,Freezer,,,,,,0,0,,,,,,,,S102,SJLK20170613C-dil,MDL,isdil ,no,no,SJILK,5.0148,Y,92794
SJLK20170724B,SJLK20170724B,MeredithDloop-SJLK20170724B_S70,Freezer,,,,,,0,0,,,,,,,,S70,SJLK20170724B,MDL,no,no,no,SJILK,6.9336,Y,138569
SJLK20170724C,SJLK20170724C,MeredithDloop-SJLK20170724C_S71,Freezer,,,,,,0,0,,,,,,,,S71,SJLK20170724C,MDL,no,no,no,SJILK,7.8348,Y,44506
SJLK20170921A,SJLK20170921A,MeredithDloop-SJLK20170921A_S72,Freezer,,,,,,0,0,,,,,,,,S72,SJLK20170921A,MDL,no,no,no,SJILK,4.1808,Y,28971
SJLK20170921B,SJLK20170921B,MeredithDloop-SJLK20170921B_S73,Freezer,,,,,,0,0,,,,,,,,S73,SJLK20170921B,MDL,no,no,no,SJILK,16.632,Y,467692
Undetermined,Undetermined,MeredithDloop-Undetermined_S0,,,,,,,NA,,,,,,,,,S0,Undetermined,MDL,no,no,no,undetermined,NA,,3185408
YI.1003,YI.1003,MeredithDloop-YI-1003_S115,Tissue,inside,,,,,NA,,,,,,,,,S115,YI-1003,MDL,no,no,no,ruberrimus.tissue,20,Y,545805
YI.1022,YI.1022,MeredithDloop-YI-1022_S116,Tissue,inside,,,,,NA,,,,,,,,,S116,YI-1022,MDL,no,no,no,ruberrimus.tissue,20,Y,616449
YI.322,YI.322,MeredithDloop-YI-322_S105,Tissue,outside,,,,,NA,,,,,,,,,S105,YI-322,MDL,no,no,no,ruberrimus.tissue,20,Y,72360
YI.339,YI.339,MeredithDloop-YI-339_S106,Tissue,outside,,,,,NA,,,,,,,,,S106,YI-339,MDL,no,no,no,ruberrimus.tissue,20,Y,202768
YI.344,YI.344,MeredithDloop-YI-344_S107,Tissue,outside,,,,,NA,,,,,,,,,S107,YI-344,MDL,no,no,no,ruberrimus.tissue,20,Y,171457
YI.409,YI.409,MeredithDloop-YI-409_S108,Tissue,outside,,,,,NA,,,,,,,,,S108,YI-409,MDL,no,no,no,ruberrimus.tissue,20,Y,315009
YI.428,YI.428,MeredithDloop-YI-428_S109,Tissue,outside,,,,,NA,,,,,,,,,S109,YI-428,MDL,no,no,no,ruberrimus.tissue,20,Y,121160
YI.433,YI.433,MeredithDloop-YI-433_S110,Tissue,outside,,,,,NA,,,,,,,,,S110,YI-433,MDL,no,no,no,ruberrimus.tissue,20,Y,593570
YI.466,YI.466,MeredithDloop-YI-466_S111,Tissue,inside,,,,,NA,,,,,,,,,S111,YI-466,MDL,no,no,no,ruberrimus.tissue,20,Y,166833
YI.543,YI.543,MeredithDloop-YI-543_S112,Tissue,inside,,,,,NA,,,,,,,,,S112,YI-543,MDL,no,no,no,ruberrimus.tissue,20,Y,511185
YI.572,YI.572,MeredithDloop-YI-572_S113,Tissue,inside,,,,,NA,,,,,,,,,S113,YI-572,MDL,no,no,no,ruberrimus.tissue,20,Y,345960
YI.648,YI.648,MeredithDloop-YI-648_S114,Tissue,inside,,,,,NA,,,,,,,,,S114,YI-648,MDL,no,no,no,ruberrimus.tissue,20,Y,641762
